data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2016-06-16,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,11,0.0,1.0,-13311.0,-41343.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-09-09,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0.0,1.0,-13028.0,-41479.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-03-26,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0.0,1.0,-13015.0,-41.476000000000006,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7.0,0.7,-12659.0,-41506.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,26,6.9,0.6,-12661.0,-41515.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,13,0.0,1.0,-12647.0,-41294.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,4,1.5,1.0,-12671.0,-41442.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-09-25,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,8,0.4,1.0,-13.13,-41065.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-22,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,30,0.0,1.0,-13335.0,-41363.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-12,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,25,0.0,1.0,-13188.0,-41199.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-04-08,AQUA_M-T,Brasil,BAHIA,IRAQUARA,Caatinga,1,0.0,1.0,-12382.0,-41431.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-07-22,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,15,0.0,1.0,-13076.0,-41464.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,4,0.0,1.0,-13305.0,-41325.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-09-25,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,8,0.6,1.0,-13124.0,-41073.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-12,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,24,0.0,1.0,-13194.0,-41203.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-08-21,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,27,0.0,1.0,-13255.0,-41348.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-12,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,2,0.7,0.9,-13305.0,-41215.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-16,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,31,0.0,1.0,-12916.0,-41315.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-11,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,10,0.0,1.0,-12638.0,-41312.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-02,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,33,0.0,1.0,-13127.0,-41415.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-09,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,10,0.0,1.0,-13168.0,-41066.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,14,0.0,1.0,-12644.0,-41301.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,6.7,0.7,-12643.0,-41518.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-02,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,35,0.0,1.0,-13129.0,-41424.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,4,0.0,1.0,-13303.0,-41316.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-07-18,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,32,0.0,1.0,-12.41,-41288.0,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,4,0.0,1.0,-13294.0,-41317.0,,PARNA DA CHAPADA DA DIAMANTINA
