data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7225,-41.5117,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.248,-41.198,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.725,-41.516999999999996,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-07,NOAA-15,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7362,-41.5135,,PARNA DA CHAPADA DA DIAMANTINA
2017-04-16,GOES-13,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.2,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-26,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,0,0.0,1.0,-12.8736,-41.3336,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-07,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7247,-41.506,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-07,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7244,-41.5106,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7193,-41.5142,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-30,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.786,-41.4621,,PARNA DA CHAPADA DA DIAMANTINA
2017-07-21,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0634,-41.3673,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-27,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.3,1.0,-13.2747,-41.2039,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-03,NOAA-18,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.5509,-41.4418,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.2482,-41.1984,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-04,METOP-B,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.5225,-41.4072,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-04,METOP-B,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,0.9,-12.5151,-41.4199,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7212,-41.5177,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-27,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,0,0.4,1.0,-13.24,-41.2,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7271,-41.5223,,PARNA DA CHAPADA DA DIAMANTINA
2017-07-21,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0863,-41.3661,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-03,NOAA-18,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.5509,-41.4418,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-30,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.786,-41.4621,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7258,-41.5151,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-04,METOP-B,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,0.9,-12.5127,-41.4098,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.722999999999999,-41.508,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7254,-41.5123,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-27,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1.0,-13.2649,-41.206,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-04,METOP-B,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,0.9,-12.5127,-41.4098,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-04,METOP-B,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.5225,-41.4072,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-23,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,1.0,-13.2426,-41.1981,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-10,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.3,1.0,-13.2161,-41.318999999999996,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-26,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.8872,-41.3653,,PARNA DA CHAPADA DA DIAMANTINA
2017-07-21,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0783,-41.3778,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.245,-41.193999999999996,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7239,-41.5197,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.2592,-41.2037,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-03,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,0,0.0,1.0,-12.8966,-41.3169,,PARNA DA CHAPADA DA DIAMANTINA
2017-03-06,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7265,-41.5094,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,NOAA-19,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.2372,-41.1931,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-26,TERRA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1.0,-13.253,-41.198,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-30,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7872,-41.4695,,PARNA DA CHAPADA DA DIAMANTINA
2017-07-21,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0629,-41.3637,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-03,NOAA-18,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.5491,-41.4317,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-24,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,1.0,-13.248,-41.196000000000005,,PARNA DA CHAPADA DA DIAMANTINA
